"Bairros","tot_total","masc_total","fem_total","tot_juv","masc_juv","fem_juv","Num_jogador"
"RECIFE",472.64,502.07,434.32,792.84,771.75,894,21
"SANTO AMARO",1090.94,1259.42,945.19,913.62,968.13,859.71,36
"BOA VISTA",2159.1,2599.84,1834.31,1644.56,1661.7,1626.49,2
"SOLEDADE",2223.49,2624.38,1917.29,1582.29,1764.41,1397.34,NA
"SANTO ANTONIO",1065.3,1077.24,1050.9,1285,1310.91,1222.22,NA
"PAISSANDU",2676.1,3086.23,2385.1,1920.81,2178.55,1782.51,NA
"ILHA DO LEITE",1941.19,2303.61,1629.01,1624,1420.58,2835.63,NA
"COELHOS",567.35,644.02,496.2,822.14,853.81,786.67,46
"ILHA JOANA BEZERRA",492.15,561.66,415.58,750.19,871.59,591.09,83
"CABANGA",1044.4,1201.84,912.46,889.86,1001.62,791.07,19
"SAO JOSE",824.86,998.29,649.56,879.17,1033.93,689.65,9
"DERBY",3788.16,4995.06,2927.16,2309.77,1638.12,2844.12,NA
"GRACAS",4975.96,6342.43,3916.65,2183.06,2164.09,2187.3,1
"JAQUEIRA",5804.84,7467.86,4428.76,2443.56,3435.8,1247.71,NA
"AFLITOS",4858.52,6292.06,3721.88,2488.45,3075.2,1848.23,1
"ESPINHEIRO",3867.19,4766.91,3182.5,2063.11,2196.39,1916.49,NA
"ROSARINHO",3557.35,4482.82,2803.3,1754.02,1911.24,1578.71,NA
"TAMARINEIRA",3688.17,4576.24,2980.01,1646.87,1827.81,1467.2,1
"PEIXINHOS",508.98,579.24,437.29,761.57,871.22,616.12,6
"CAMPINA DO BARRETO",656.59,766.73,551.98,774.77,867.21,667.05,57
"ARRUDA",1218.44,1425.06,1035.87,1075.57,1169.37,974.68,20
"PONTO DE PARADA",1603.65,1967.26,1303.58,1167.43,1385.87,947.81,NA
"HIPODROMO",2318.04,2809.7,1937.77,1427.05,1299.16,1590.73,NA
"CAMPO GRANDE",1157.71,1332.96,1006.05,974.78,1059.99,879.5,18
"ENCRUZILHADA",2941.14,3600.75,2405.44,1528.33,1767.45,1293.48,1
"TORREAO",3223.8,4198.4,2378.26,1306.72,1406.8,1173.25,5
"PASSARINHO",510.75,598.26,415.15,763.85,861.33,639.41,10
"DOIS UNIDOS",602.9,681.27,512.3,890.56,930.08,839.1,99
"LINHA DO TIRO",635.58,720.86,548.94,883.87,966.92,786.6,35
"BEBERIBE",624.3,706.39,543.5,842.19,942.89,726.89,71
"ALTO SANTA TERESINHA",580.87,640.75,519.18,863.52,928.31,797.61,NA
