rota;sentido;percurso;bairro;extensao_km;inauguracao;km_acumulada
Ciclovia Norte;Bidirecional;Início no cruzamento da Rua da Aurora com a Av. Norte, Av. Norte, Praça Soares Dutra (adjacente ao Cemitério dos Ingleses), Pça Cívica (adjacente ao Cemitério dos Ingleses), Av. Cruz Cabugá, Av. Norte, Viaduto da Av. Norte;Santo Amaro;1.47;2011;1.47
Ciclofaixa do Cavouco;Unidirecional;Início na Av. Caxangá com a Av. Mário Álvares Pereira de Lira,Av. Mário Álvares Pereira de Lira, Rua do Bom Pastor e Av. Mário Álvares de Lira;Iputinga;2.3;2007;3.77
Ciclovia Orla de Boa Viagem;Bidirecional;Início a 63 metros da Rua Dr. Arlindo dos Santos na Av. Boa Viagem, Av. Boa Viagem até o cruzamento com a Av. Antônio de Góes;Boa Viagem e pina;6.85;2004;11.62
Ciclofaixa Brasília Teimosa;Bidirecional;Início no cruzamento da Av. Boa Viagem com a Av. Antônio de Góes, Rua Comendador Morais, Rua Armando Pina, Rua Marechal Hermes, Av. Brasília Formosa e finaliza a 44 metros antes da Rua da Esperança;Pina e Brasília Teimosa;1.41;2004;13.03
Rota Tiradentes;Bidirecional e Ciclorrota;Início no cruzamento da Av. Caxangá e Av. do Forte, Av. do Forte, Rua Dr. Elphego Jorge de Souza, Rua Arsênio Calaça, Rua José Veloso, Rua Comendador Franco Ferreira, Rua 21 de Abril.;Torrões e San Martin;5.6;2005;.18.63
Ciclovia Shopping;Bidirecional;Anel viário do Shopping RioMar;Pina;0.45;2012;19.08
Ciclofaixa Binário de Casa Amarela – Arraial x Encanamento;Unidirecional;Sentido cidade/subúrbio - início no cruzamento da Av. Dês Góes Cavalcanti com a Estrada do Arraial. Segue a Estrada do Arraial em toda sua extensão. Sentido subúrbio/cidade – Estrada do Encanamento - início do cruzamento com a Rua Oscar Ferreira, Praça do Parnamirim, Rua Padre Roma, Rua Sebastião Alves. Rua Paula Baptista, no trecho compreendido entre os binários;Tamarineira, Casa Amarela, Casa Forte e Parnamirim;5;2012;24.08
Zona 30;Área Compartilhada;Bairro do Recife - Área entre a Av. Alfredo Lisboa e a Av. Cais da Alfândega, da Ponte 12 de Setembro e a Rua do Observatório. (É um poligono com 22 vias);Recife;;2014;
Ciclofaixa Arquiteto Luiz Nunes;Bidirecional;Rua Visconde de Pelotas, Rua Santos Araújo, Rua Augusto Calheiros, Ponte Paulo Guerra, Rua Arquiteto Luiz Nunes, Rua Eng. José Brandão Cavalcante, Lagoa do Araçá;Afogados e Imbiribeira;3.5;05/2014;27.58
Rota de Bicicleta Marquês de Abrantes;Bidirecional;Inicia na Rua Amaro Coutinho, Rua Pedro Alves, Rua da Coragem, Rua Retiro Saudoso, Rua Carlos Fernandes e Rua Marquês de Abrantes, até o cruzamento com a Rua Jerônimo Vilela;Rosarinho, Encruzilhada, Hipódromo e Campo Grande;1.9;09/2014;29.48
Rota Antônio Curado;Bidirecional;Rua Gaspar Perez, Rua Mauricéia no cruzamento com a BR-101. segue pela Rua Manoel Estevão da Costa, Rua Antônio Curado e Rua José dos Santos;Engenho do Meio;3.2;11/2015;32.68
Rota Inácio Monteiro;Unidirecional, Bidirecional;Rua Professor Joaquim Xavier de Brito, Av. Inácio Monteiro e Rua Dr. Miguel Vieira ferreira;Cordeiro;2.4;12/2015;35.08
Ciclofaixa Antônio Falcão;Bidirecional;Avenida General Mac Arthur e Rua Edson Amancio de Ramalho;Imbiribeira e Boa Viagem;1.7;12/2015;36.78
Ciclovia Via Mangue;Bidirecional;Pista Oeste da Via Mangue até a Rua Manoel de Brito;Boa Viagem;4.5;01/2016;41.28
Ciclofaixa Jardim Beira Rio;Bidirecional;Rua Manoel de Brito, Av. República Árabe Unida;Pina;0.85;01/2016;42.13
Eixo Estruturador Cicloviário Camilo Simões;Bidirecional;Av. Rio Branco, Ponte Buarque de Macedo, Praça da República, Ponte Princesa Isabel, Rua da Aurora, Rua Prefeito Arthur de Lima Cavalcante, Rua Dr. Jayme da Fonte, Pontilhão da Av. Gov. Agamenon Magalhães, Pista local da Av. Gov. Agamenon Magalhães, Fábrica Tacaruna.;Bairro do Recife, Santo Antônio, Boa Vista, Santo Amaro, Campo Grande;5.1;04/2017;47.23
Rota Jardim São Paulo;Ciclorrota, Unidirecional, Bidirecional;Rua Comendador Franco Ferreira, Av. General San Martin, Avenida João Cabral de Melo Neto, Rua Alberto Pasqualine, Praça de Jardim São Paulo.;Jardim São Paulo;1.9;09/2017;49.13
