"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"23574";"CABO DE SANTO AGOSTINHO";"121";"7";"Deputado Estadual";"85210";"268";"4";"85210";"268";"75708";"9502";"N";"56021";"4169";"11221";"4297";"0";"0";"16:14:25";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25313";"RECIFE";"149";"5";"Senador";"107147";"312";"2";"107147";"312";"91649";"15498";"N";"116987";"20678";"45633";"0";"0";"0";"16:14:09";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25313";"RECIFE";"3";"5";"Senador";"105622";"301";"10";"105622";"301";"92074";"13548";"N";"99202";"24174";"60772";"0";"0";"0";"16:14:09";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"23078";"ÁGUA PRETA";"38";"7";"Deputado Estadual";"23355";"62";"0";"23355";"62";"15605";"7750";"N";"12305";"951";"1277";"1072";"0";"0";"16:14:14";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"24635";"JOAQUIM NABUCO";"38";"7";"Deputado Estadual";"12682";"41";"0";"12682";"41";"9068";"3614";"N";"7329";"457";"591";"691";"0";"0";"16:14:18";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"24813";"MACHADOS";"88";"5";"Senador";"9388";"33";"3";"9388";"33";"7902";"1486";"N";"10440";"1885";"3479";"0";"0";"0";"16:14:11";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25313";"RECIFE";"150";"5";"Senador";"106016";"302";"27";"106016";"302";"93346";"12670";"N";"109323";"22748";"54621";"0";"0";"0";"16:14:09";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"23086";"VERTENTE DO LÉRIO";"34";"5";"Senador";"7246";"25";"0";"7246";"25";"6055";"1191";"N";"7488";"1624";"2998";"0";"0";"0";"16:14:18";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25739";"SÃO LOURENÇO DA MATA";"13";"3";"Governador";"69828";"215";"27";"69828";"215";"62899";"6929";"N";"44816";"4298";"13785";"0";"0";"0";"16:14:17";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"23167";"CARNAUBEIRA DA PENHA";"69";"3";"Governador";"11093";"35";"5";"11093";"35";"8063";"3030";"N";"6260";"280";"1523";"0";"0";"0";"16:14:09";"07/11/2018"
