UF;Abrangencia;Inicio;Fim
PE;ABREU E LIMA;65509;66982
PE;AFOGADOS DA INGAZEIRA;22377;22483
PE;AFRANIO;11460;11531
PE;AGRESTINA;17410;16736
PE;AGUA PRETA;20246;19859
PE;AGUAS BELAS;27636;26828
PE;ALAGOINHA;9745;9525
PE;ALIANCA;27015;26717
PE;ALTINHO;16204;16000
PE;AMARAJI;15520;15233
PE;ANGELIM;6417;6575
PE;ARACOIABA;10407;10882
PE;ARARIPINA;44561;43912
PE;ARCOVERDE;39915;39575
PE;BARRA DE GUABIRABA;8278;8215
PE;BARREIROS;28890;28407
PE;BELEM DE MARIA;8786;8467
PE;BELEM DE SAO FRANCISCO;13356;12973
PE;BELO JARDIM;48288;48032
PE;BETANIA;7723;7807
PE;BEZERROS;38154;38306
PE;BODOCO;18325;18626
PE;BOM CONSELHO;30383;28692
PE;BOM JARDIM;26437;26303
PE;BONITO;24569;24207
PE;BREJAO;6615;6836
PE;BREJINHO;6069;5874
PE;BREJO DA MADRE DE DEUS;22439;22218
PE;BUENOS AIRES;10020;10053
PE;BUIQUE;29303;29003
PE;CABO;110669;113088
PE;CABROBO;18271;17880
PE;CACHOEIRINHA;12937;12817
PE;CAETES;13821;13928
PE;CALCADO;6444;6399
PE;CALUMBI;6021;6024
PE;CAMARAGIBE;86682;86183
PE;CAMOCIM DE SAO FELIX;12073;12041
PE;CAMUTANGA;7244;7022
PE;CANHOTINHO;16466;15995
PE;CAPOEIRAS;13634;13340
PE;CARNAIBA;14569;9793
PE;CARNAUBEIRA DA PENHA;7018;7038
PE;CARPINA;41675;41945
PE;CARUARU;153997;155633
PE;CASINHAS;9607;9455
PE;CATENDE;22638;22546
PE;CEDRO;7256;7008
PE;CHA DE ALEGRIA;9605;6891
PE;CHA GRANDE;11880;12038
PE;CONDADO;15007;14836
PE;CORRENTES;11776;11246
PE;CORTES;11679;11549
PE;CUMARU;13792;13329
PE;CUPIRA;17424;17034
PE;CUSTODIA;22419;22228
PE;DORMENTES;10801;10787
PE;ESCADA;40799;40551
PE;EXU;23308;23015
PE;FEIRA NOVA;14937;14738
PE;FERNANDO DE NORONHA;1175;1172
PE;FERREIROS;8540;8579
PE;FLORES;16398;16426
PE;FLORESTA;17690;17512
PE;FREI MIGUELINHO;9447;9473
PE;GAMELEIRA;13912;13776
PE;GARANHUNS;69503;69382
PE;GLORIA DO GOITA;18600;18426
PE;GOIANA;47654;47347
PE;GRANITO;3877;3928
PE;GRAVATA;47009;45098
PE;IATI;12984;12431
PE;IBIMIRIM;16975;16716
PE;IBIRAJUBA;6269;6088
PE;IGARASSU;51996;52716
PE;IGUARACI;8774;8449
PE;INAJA;7890;7731
PE;INGAZEIRA;3718;3654
PE;IPOJUCA;40306;42368
PE;IPUBI;14877;14743
PE;ITACURUBA;3549;3389
PE;ITAIBA;15686;15383
PE;ITAMARACA;11734;12103
PE;ITAMBE;20852;20696
PE;ITAPETIM;11130;10995
PE;ITAPISSUMA;14156;14268
PE;ITAQUITINGA;10813;10802
PE;JABOATAO;334794;340632
PE;JAQUEIRA;7482;7648
PE;JATAUBA;10463;10351
