"Bairros","rm_total","rm_branca","rm_preta","rm_amarela","rm_parda","rm_indigena"
"RECIFE  ",234.4,205.82,221.44,200,285.71,NA
"SANTO AMARO  ",669.08,1029.22,430.11,472.58,488.73,587.88
"BOA VISTA  ",1579.92,1788.46,1271.37,1195.48,1274.3,1417.11
"SOLEDADE  ",1621.1,1827.96,1163.56,1524.64,1302.61,1235.42
"SANTO ANTONIO  ",859.11,936.1,643.23,1678.75,796.46,710
"PAISSANDU  ",2018.32,2129.08,1015.89,1000,1635.85,NA
"ILHA DO LEITE  ",1192.63,1366,749.47,876.67,985.08,875
"COELHOS  ",327.85,370.07,320.84,335.11,304.64,363.81
"ILHA JOANA BEZERRA  ",250.7,280.99,259.81,319.05,234.71,238.67
"CABANGA  ",724.55,903.9,486.4,332.45,630.54,1052
"SAO JOSE  ",533.28,757.2,402.33,498.62,451.07,353.08
"DERBY  ",2662.21,2858.08,1536.73,2125,2314.9,455
"GRACAS  ",3518.03,3668.79,2256.2,2955.74,3127.35,1640.79
"JAQUEIRA  ",4144.04,4468.55,580.52,3471.43,3841.66,510
"AFLITOS  ",3237.18,3359.97,1691.75,2217.61,2981.49,1500
"ESPINHEIRO  ",2765.16,3011.95,1613.99,2469.95,2239.31,3255.56
"ROSARINHO  ",2449.6,2985.47,636.67,2200,1592.55,3243.33
"TAMARINEIRA  ",2531.75,2871.72,1391.87,1952.32,1964.61,2115.14
"PEIXINHOS  ",255.73,259.44,270.28,196.21,250.36,NA
"CAMPINA DO BARRETO  ",419.89,492.77,441.36,482.88,374.86,468.46
"ARRUDA  ",794.38,938.29,647,714.34,709.19,437.62
"PONTO DE PARADA  ",1168.7,1429.9,996.89,1304,956.19,4500
"HIPODROMO  ",1612.09,1800.31,910.25,1460.91,1319.8,655
"CAMPO GRANDE  ",736.82,1024.37,491.74,632.42,579.65,699.71
"ENCRUZILHADA  ",2127.38,2378.81,1228.53,1633.72,1754.63,1226.43
"TORREAO  ",2322.88,2809.57,1398.52,0,1666.26,NA
"PASSARINHO  ",285.84,316.42,337.89,217.49,268.24,258.75
"DOIS UNIDOS  ",317,358.09,343.35,325.08,292.01,408.31
"LINHA DO TIRO  ",333.6,358.5,387.67,282.98,310.92,528.22
"BEBERIBE  ",356.22,377.39,366.14,463.36,339.29,495.38
"ALTO SANTA TERESINHA  ",305.85,333.38,331.76,347.21,290.25,306.69
"PORTO DA MADEIRA  ",685.97,779.66,609.75,964.89,626.33,480
"CAJUEIRO  ",908.36,1093.33,714.62,586.97,774.76,432.5
"FUNDAO  ",572.29,719.31,526.6,583.3,493.9,451.67
"AGUA FRIA  ",396.55,476.11,389.15,405.97,358.07,514.3
"BOMBA DO HEMETERIO  ",429.49,550.75,400.8,385.71,372.37,462
"PAUFERRO  ",1904.02,2573.56,127.5,510,422.71,NA
"GUABIRABA  ",394.92,519.47,342.54,340.42,336.87,356.57
"SITIO DOS PINTOS  ",637.07,894.78,458.6,604.7,503.83,581.85
"DOIS IRMAOS  ",650.52,824.02,541.49,511.09,563.43,1450
"BREJO DA GUABIRABA  ",362.28,463.19,322.39,343.98,314.53,326.46
"CORREGO DO JENIPAPO  ",371.22,411.34,414.33,297.49,343.14,571.92
"APIPUCOS  ",749.8,1275.24,469.33,387.11,521.45,195.71
"MACAXEIRA  ",465.22,587.15,483.54,514.72,393.16,344.83
"NOVA DESCOBERTA  ",307.86,328.94,357.21,304.01,288.42,408.72
"BREJO DE BEBERIBE  ",378.8,464.01,361.33,343.28,337.46,392.5
"ALTO DO MANDU  ",754.35,1053.02,519.31,448.85,580.14,758.33
"CASA AMARELA  ",1535.32,1960.46,793.14,899.44,1076.09,779.29
"VASCO DA GAMA  ",398.34,428.95,417.34,429.5,376.21,425.24
"ALTO JOSE BONIFACIO  ",307.14,333.16,317.03,300.09,293.56,362.33
"MORRO DA CONCEICAO  ",377.32,393.5,406.79,389.7,363.06,367.94
"ALTO JOSE DO PINHO  ",364.55,392.34,395.69,315.47,342.17,309.09
"MANGABEIRA  ",458.81,534.87,451.64,455.46,423.52,282.73
"PARNAMIRIM  ",3851.01,4289.89,1118.41,2625,2742.82,405
"CASA FORTE  ",4081.02,4362.93,2070.71,1826.21,3230.9,9857.14
"SANTANA  ",3247.77,3873.33,1144.82,2550,2144.26,536.67
"POCO  ",3299.52,3827.12,1493.85,12783.33,2101.13,8075
"MONTEIRO  ",2419.13,3334.96,694.16,3492.55,1415.12,1811.43
"TORRE  ",1807.15,2300.14,765.86,1263.81,1252.27,978.5
"CORDEIRO  ",999.37,1238.92,675.68,939.56,807.81,780.89
"ZUMBI  ",805.58,976.71,744.17,671.59,659.36,525.71
"MADALENA  ",2051.05,2575.24,890.97,1623.9,1452.77,344.61
"PRADO  ",948.47,1263.12,551.63,926.13,708.17,956.86
"ILHA DO RETIRO  ",1703.99,2842.84,484.42,2894.71,791.04,1736.67
"BONGI  ",630.01,823.73,524.76,525.03,524.42,1335.17
"SAN MARTIN  ",717.79,874.18,599.97,780.79,617.01,559.63
"MUSTARDINHA  ",431.42,497.39,453.41,445.95,396.04,400.52
"MANGUEIRA  ",413.7,474.2,420.36,301.13,380.68,519.36
"VARZEA  ",728.38,934.28,634.16,914.55,592.68,755.64
"CAXANGA  ",776.05,1015.84,608.75,703.8,616.06,778.85
"IPUTINGA  ",741.8,927.52,607.41,866.53,609.82,1111.45
"TORROES  ",395.86,500.39,367.39,370.33,345.73,419.76
"ENGENHO DO MEIO  ",864.13,975.07,818.09,1044.79,767.76,793.59
"CIDADE UNIVERSITARIA  ",690.09,854.57,991.53,802.67,560.29,750
"AFOGADOS  ",547.92,655.49,475.74,582.53,482.48,503.38
"JIQUIA  ",546.78,702.2,423.38,463,467.18,699.13
"ESTANCIA  ",520.76,605.52,516.17,752.32,461.99,419.71
"AREIAS  ",676.19,751.19,630.06,650.96,620.48,652.63
"CACOTE  ",390.87,458.95,402.89,451.54,356.5,562
"CURADO  ",443.17,520.33,449.31,416.57,397.61,623.24
"TOTO  ",459.94,486.69,511.62,412.63,434.16,445.54
"COQUEIRAL  ",364.25,388.17,381.78,377.34,345.76,360.28
"SANCHO  ",372.45,512.97,345.05,358.85,303.45,388.86
"TEJIPIO  ",724.82,793.03,620.37,662.04,674.25,823.33
"JARDIM SAO PAULO  ",686.34,776.37,655.04,635.59,616.13,650.41
"BARRO  ",452.72,545.57,434.53,446.57,398.73,560.06
"COHAB  ",401.5,463.36,419.47,367.17,365.5,464.18
"JORDAO  ",428.49,465.52,413.6,402.27,407.78,644.71
"IBURA  ",416.52,473.48,405.55,408.41,385.26,567.04
"IPSEP  ",834.42,903.62,838.62,815.14,759.53,913.57
"IMBIRIBEIRA  ",759.43,991.53,512,721.85,615.12,724.86
"BOA VIAGEM  ",2732.17,3131.05,1432.18,2355.5,1997.07,1464.38
"PINA  ",919.11,1486.87,501.75,1105.23,580.14,812.97
"BRASILIA TEIMOSA  ",425.33,471.81,453.12,349.56,395.12,520.94
