local;Até 1 SM;Mais de 1 a 2 SM;Mais de 2 a 5 SM;Mais de 5 a 10 salários mínimos;Mais de 10 SM;Sem rendimento
Recife (PE);0,288245734462875;0,140955668955543;0,099853205487615;0,053197852203901;0,035920115639043;0,381827423251023
Loteamento Recife  Petrolina (PE);0,281650641025641;0,182091346153846;0,119591346153846;0,026642628205128;0,004407051282051;0,385616987179487
Recife  Recife (PE);0,392276422764228;0,08739837398374;0,014227642276423;0,002032520325203;0;0,504065040650406
Santo Amaro  Recife (PE);0,344355239198808;0,121254759145837;0,094355239198808;0,041714947856315;0,011628869392485;0,386690945207747
Boa Vista  Recife (PE);0,150671165027636;0,172995477711578;0,236738209748044;0,119015146077094;0,052329337448855;0,268250663986792
Soledade  Recife (PE);0,15469146238377;0,144547759932375;0,237531699070161;0,134826711749789;0,057480980557904;0,270921386306002
Santo Antônio  Recife (PE);0,146953405017921;0,462365591397849;0,161290322580645;0,028673835125448;0,007168458781362;0,193548387096774
Paissandu  Recife (PE);0,094537815126051;0,121848739495798;0,260504201680672;0,197478991596639;0,079831932773109;0,245798319327731
Ilha do Leite  Recife (PE);0,152505446623094;0,140522875816993;0,190631808278867;0,094771241830065;0,035947712418301;0,38562091503268
Coelhos  Recife (PE);0,436210131332083;0,106941838649156;0,027360850531582;0,00562851782364;0,001719824890557;0,422138836772983
Ilha Joana Bezerra  Recife (PE);0,397580883076015;0,092831153505753;0,016717474677943;0,001868423640476;0,000393352345363;0,49060871275445
Cabanga  Recife (PE);0,350826743350108;0,168943206326384;0,123652048885694;0,03666427030913;0,013659237958303;0,306254493170381
São José  Recife (PE);0,439254934667779;0,134695579649708;0,051292743953294;0,011120378092855;0,01014734500973;0,353489018626633
Derby  Recife (PE);0,098562628336756;0,108316221765914;0,160677618069815;0,18223819301848;0,152977412731006;0,297227926078029
Graças  Recife (PE);0,068351764086361;0,072037914691943;0,157398630858346;0,195734597156398;0,213480779357557;0,292996313849394
Jaqueira  Recife (PE);0,089408528198074;0,065337001375516;0,115543328748281;0,178817056396149;0,264786795048143;0,286107290233838
Aflitos  Recife (PE);0,051877004338804;0,075834748160724;0,1569515185814;0,192039237879645;0,189586870401811;0,333710620637616
Espinheiro  Recife (PE);0,096939308471744;0,100699885093492;0,177269403530764;0,180821059229082;0,159302204115742;0,284968139559177
Rosarinho  Recife (PE);0,164099691963036;0,102492299075889;0,130215625875105;0,148137776533184;0,143657238868664;0,311397367684122
Tamarineira  Recife (PE);0,11229444009397;0,115661707126077;0,17353171495693;0,142364917776038;0,142599843382929;0,313547376664056
Peixinhos  Recife (PE);0,373239436619718;0,101991257892181;0,024040796503157;0,002428363283147;0,000728508984944;0,497571636716853
Campina do Barreto  Recife (PE);0,415233108950386;0,150461231613064;0,06158065320369;0,010346546995762;0,0018698578908;0,360508601346298
Arruda  Recife (PE);0,26197652284264;0,175999365482234;0,147446065989848;0,055123730964467;0,011421319796954;0,348032994923858
Ponto de Parada  Recife (PE);0,240287769784173;0,182014388489209;0,184892086330935;0,086330935251799;0,035251798561151;0,271223021582734
Hipódromo  Recife (PE);0,152479338842975;0,143801652892562;0,210743801652893;0,126859504132231;0,061570247933884;0,304545454545455
Campo Grande  Recife (PE);0,324264838535089;0,141042756629984;0,110229117806242;0,046220458235613;0,014685188526069;0,363557640267003
Encruzilhada  Recife (PE);0,126168656854577;0,125428121818014;0,206516708321762;0,163565676201055;0,101638433768398;0,276682403036194
Torreão  Recife (PE);0,152241918665276;0,093847758081335;0,191866527632951;0,159541188738269;0,123044838373306;0,279457768508863
Passarinho  Recife (PE);0,424552582749746;0,112168552103909;0,021428143891782;0,001436523612857;5,98551505357036E-05;0,440354342491171
Dois Unidos  Recife (PE);0,366481974526876;0,120385694754264;0,034935597610995;0,003310066920918;0,000683600777146;0,474203065409801
Linha do Tiro  Recife (PE);0,337951469528309;0,140305918154881;0,041483142468167;0,004644830623849;0,000480499719708;0,475134139505085
Beberibe  Recife (PE);0,373989128993769;0,142913959962879;0,04573777011799;0,007158955322816;0,000795439480313;0,429404746122233
Alto Santa Teresinha  Recife (PE);0,391632056606676;0,105368404860791;0,024919243193355;0,004153207198892;0,000461467466544;0,473465620673743
Porto da Madeira  Recife (PE);0,271447621869907;0,193658319751074;0,139872573714624;0,039116906208327;0,00711216476515;0,348792413690917
Cajueiro  Recife (PE);0,238144329896907;0,168384879725086;0,158591065292096;0,059621993127148;0,020446735395189;0,354810996563574
Fundão  Recife (PE);0,357284862255041;0,169980119284294;0,095001420051122;0,02882703777336;0,004828173814257;0,344078386821926
Água Fria  Recife (PE);0,374519256811657;0,142245815502952;0,053030713395807;0,009750284383295;0,001706299767077;0,418747630139212
Bomba do Hemetério  Recife (PE);0,367657034323701;0,140550807217474;0,054809388142722;0,011396011396011;0,002984669651336;0,422602089268756
PauFerro  Recife (PE);0,276923076923077;0,061538461538462;0,092307692307692;0,153846153846154;0,123076923076923;0,292307692307692
Guabiraba  Recife (PE);0,419318181818182;0,116098484848485;0,033143939393939;0,014204545454546;0,004166666666667;0,413068181818182
Sítio dos Pintos  Recife (PE);0,285164394546913;0,180112269446672;0,055653568564555;0,018283881315156;0,019406575781877;0,441379310344828
Dois Irmãos  Recife (PE);0,327570518653321;0,138307552320291;0,063239308462238;0,029572338489536;0,018653321201092;0,422656960873521
Brejo da Guabiraba  Recife (PE);0,409946099867792;0,119597274483881;0,027865351367843;0,005084918132818;0,003254347605004;0,434252008542662
Córrego do Jenipapo  Recife (PE);0,37177695922774;0,142004318557094;0,038485964689445;0,005588720945002;0,003048393242728;0,439095643337991
Apipucos  Recife (PE);0,367924528301887;0,142557651991614;0,054507337526206;0,026904262753319;0,026904262753319;0,381201956673655
Macaxeira  Recife (PE);0,357085160396954;0,138702977152089;0,061447034387261;0,017770597738288;0,004788829909993;0,420205400415417
Nova Descoberta  Recife (PE);0,390945369478464;0,13065914407596;0,025801568735379;0,002373744323655;0,000447227191413;0,449772946195129
Brejo de Beberibe  Recife (PE);0,404651162790698;0,141424418604651;0,039389534883721;0,005959302325581;0,00406976744186;0,404505813953488
Alto do Mandu  Recife (PE);0,300504443910641;0,16670670189767;0,08719673312515;0,029305789094403;0,017055008407399;0,399231323564737
Casa Amarela  Recife (PE);0,217394638953867;0,148943513440963;0,144265061165011;0,095371400084366;0,069371476780305;0,324653909575488
Vasco da Gama  Recife (PE);0,38730705829462;0,154240971077476;0,053536640191818;0,007642739397572;0,001161396673161;0,396111194365353
Alto José Bonifácio  Recife (PE);0,339990534784666;0,143776620918126;0,030572645527686;0,003596781826787;0,000567912920019;0,481495504022717
Morro da Conceição  Recife (PE);0,377586791812733;0,145425760488522;0,046251272192695;0,005541105959516;0,000791586565645;0,424403482980889
Alto José do Pinho  Recife (PE);0,377121840814787;0,146548472274613;0,041870992078461;0,005375330064127;0,000471520181064;0,428611844586948
