local;fx_etaria;renda;Branca;Preta;Amarela;Parda;Indígena
Recife;Total;Total;547679;114993;12866;643973;3368
Recife;Total;Até 1 SM;243920;84847;7487;445865;2084
Recife;Total;Mais de 1 a 2 SM;95628;15564;2315;91192;616
Recife;Total;Mais de 2 a 5 SM;107317;7348;1737;55928;434
Recife;Total;Mais de 5 SM;82790;1949;774;23795;121
Recife;Total;Sem rendimento;18024;5285;553;27193;113
Recife;15 a 17 anos;Total;28397;6105;788;39698;159
Recife;15 a 17 anos;Até 1 SM;16981;5126;568;32053;124
Recife;15 a 17 anos;Mais de 1 a 2 SM;3933;415;89;3299;21
Recife;15 a 17 anos;Mais de 2 a 5 SM;4014;189;72;1796;12
Recife;15 a 17 anos;Mais de 5 SM;2351;40;23;581;1
Recife;15 a 17 anos;Sem rendimento;1118;335;36;1969;1
Recife;18 ou 19 anos;Total;19513;4143;541;25537;122
Recife;18 ou 19 anos;Até 1 SM;10465;3349;370;19453;86
Recife;18 ou 19 anos;Mais de 1 a 2 SM;3187;378;89;2870;12
Recife;18 ou 19 anos;Mais de 2 a 5 SM;3199;160;46;1508;16
Recife;18 ou 19 anos;Mais de 5 SM;1782;32;11;418;2
Recife;18 ou 19 anos;Sem rendimento;880;224;25;1288;6
Recife;20 a 24 anos;Total;54740;12158;1613;69003;318
Recife;20 a 24 anos;Até 1 SM;26300;9213;943;49581;212
Recife;20 a 24 anos;Mais de 1 a 2 SM;10584;1632;330;9746;55
Recife;20 a 24 anos;Mais de 2 a 5 SM;10168;632;205;5191;29
Recife;20 a 24 anos;Mais de 5 SM;5620;129;55;1546;4
Recife;20 a 24 anos;Sem rendimento;2068;552;80;2939;18
