;Total;;;Homens;;;Mulheres;;
Local;Total;15 a 19 anos;20 a 24 anos;Total;15 a 19 anos;20 a 24 anos;Total;15 a 19 anos;20 a 24 anos
Brasil;1201,47;483,71;722,88;1390,99;513,81;783,94;983,37;442,56;644,15
Recife - Recife (PE);472,64;371,54;421,3;502,07;363,75;408;434,32;384;510
Santo Amaro - Recife (PE);1090,94;317,5;596,12;1259,42;333,09;635,04;945,19;300,23;559,48
Boa Vista - Recife (PE);2159,1;687,13;957,43;2599,84;661,72;999,98;1834,31;703,35;923,14
Soledade - Recife (PE);2223,49;612;970,29;2624,38;714,07;1050,34;1917,29;513,57;883,77
Santo Antônio - Recife (PE);1065,3;590;695;1077,24;630;680,91;1050,9;510;712,22
Paissandu - Recife (PE);2676,1;719,67;1201,14;3086,23;651,67;1526,88;2385,1;855,67;926,84
Ilha do Leite - Recife (PE);1941,19;705;919;2303,61;446;974,58;1629,01;2000;835,63
Coelhos - Recife (PE);567,35;358,3;463,84;644,02;350,16;503,65;496,2;368,29;418,38
Ilha Joana Bezerra - Recife (PE);492,15;289,8;460,39;561,66;325,18;546,41;415,58;231,17;359,92
Cabanga - Recife (PE);1044,4;389,23;500,63;1201,84;452;549,62;912,46;336,92;454,15
São José - Recife (PE);824,86;379,97;499,2;998,29;454,31;579,62;649,56;282,1;407,55
Derby - Recife (PE);3788,16;1206,72;1103,05;4995,06;384,38;1253,74;2927,16;1864,6;979,52
Graças - Recife (PE);4975,96;937,19;1245,87;6342,43;751,54;1412,55;3916,65;1095,72;1091,58
Jaqueira - Recife (PE);5804,84;478,89;1964,67;7467,86;525;2910,8;4428,76;465,71;782
Aflitos - Recife (PE);4858,52;1116,25;1372,2;6292,06;1403,67;1671,53;3721,88;784,62;1063,61
Espinheiro - Recife (PE);3867,19;848,48;1214,63;4766,91;936,19;1260,2;3182,5;754,8;1161,69
Rosarinho - Recife (PE);3557,35;691,08;1062,94;4482,82;599,2;1312,04;2803,3;746,2;832,51
Tamarineira - Recife (PE);3688,17;592,27;1054,6;4576,24;696,22;1131,59;2980,01;492,04;975,16
Peixinhos - Recife (PE);508,98;306,03;455,54;579,24;342,68;528,54;437,29;254,21;361,91
Campina do Barreto - Recife (PE);656,59;314,54;460,23;766,73;338,55;528,66;551,98;278,37;388,68
Arruda - Recife (PE);1218,44;402,58;672,99;1425,06;433,2;736,17;1035,87;369,3;605,38
Ponto de Parada - Recife (PE);1603,65;392,19;775,24;1967,26;480,17;905,7;1303,58;274,89;672,92
Hipódromo - Recife (PE);2318,04;627,13;799,92;2809,7;449,92;849,24;1937,77;836,55;754,18
Campo Grande - Recife (PE);1157,71;382,03;592,75;1332,96;408,34;651,65;1006,05;344,16;535,34
Encruzilhada - Recife (PE);2941,14;637,44;890,89;3600,75;735,1;1032,35;2405,44;535,62;757,86
Torreão - Recife (PE);3223,8;326,36;980,36;4198,4;269,8;1137;2378,26;357,78;815,47
Passarinho - Recife (PE);510,75;305,93;457,92;598,26;344,89;516,44;415,15;257,98;381,43
Dois Unidos - Recife (PE);602,9;378,62;511,94;681,27;380,57;549,51;512,3;375,92;463,18
Linha do Tiro - Recife (PE);635,58;385,42;498,45;720,86;419,96;546,96;548,94;344,31;442,29
Beberibe - Recife (PE);624,3;333,52;508,67;706,39;387,25;555,64;543,5;277,35;449,54
Alto Santa Teresinha - Recife (PE);580,87;357,17;506,35;640,75;369,37;558,94;519,18;341,52;456,09
Porto da Madeira - Recife (PE);1053,38;436,32;635,65;1181,48;471,34;683,35;935,53;384,52;587,95
Cajueiro - Recife (PE);1407,9;476,51;703,62;1596,97;524,55;768,2;1235,48;437,85;623,36
Fundão - Recife (PE);872,5;410,41;612,15;1000,81;457,11;743,31;758,31;350,64;485,91
Água Fria - Recife (PE);682,23;351,27;504,16;784,64;387;559,16;585,27;308,68;446,55
Bomba do Hemetério - Recife (PE);743,84;419,65;552,14;862,16;433,35;577,48;634,82;405,94;522,64
Pau-Ferro - Recife (PE);2690,46;-;405;3268,75;-;510;2059,59;-;370
Guabiraba - Recife (PE);672,86;383,5;503,65;779,57;448,28;553,21;545,37;289,43;425,15
Sítio dos Pintos - Recife (PE);1140,44;393,17;572,33;1307,82;422,46;597,75;955,13;349,24;540,38
Dois Irmãos - Recife (PE);1126,74;347,23;565,53;1265,53;379,45;562,96;971,5;305,53;568,77
Brejo da Guabiraba - Recife (PE);640,35;315,03;501,18;771,15;367,98;562,82;511,56;260,08;429,14
Córrego do Jenipapo - Recife (PE);661,82;371,35;523,15;757,06;422,62;569,86;560,44;328,28;461,76
Apipucos - Recife (PE);1211,71;317,92;614,4;1427,47;284,38;580,99;1000,06;357,06;647,06
Macaxeira - Recife (PE);802,39;386,25;563,89;940,36;406,36;611,88;659,46;362,67;501,22
Nova Descoberta - Recife (PE);559,52;344,62;486,97;637,22;364,41;520,51;478,43;318,23;442,59
Brejo de Beberibe - Recife (PE);636,12;340,82;493,45;739,98;408,24;562,42;532;266,34;415,18
Alto do Mandu - Recife (PE);1255,64;397,74;622,76;1478,57;447,5;667,61;1055,23;352,5;574,14
