Local;Total;Branca;Preta;Amarela;Parda;Indígena
Brasil;755,79;1019,65;539,31;995,15;495,56;344,97
Recife (PE);983,86;1479,48;543,84;860,09;646,25;755,86
Recife  Recife (PE);234,4;205,82;221,44;200;285,71;
Santo Amaro  Recife (PE);669,08;1029,22;430,11;472,58;488,73;587,88
Boa Vista  Recife (PE);1579,92;1788,46;1271,37;1195,48;1274,3;1417,11
Soledade  Recife (PE);1621,1;1827,96;1163,56;1524,64;1302,61;1235,42
Santo Antônio  Recife (PE);859,11;936,1;643,23;1678,75;796,46;710
Paissandu  Recife (PE);2018,32;2129,08;1015,89;1000;1635,85;
Ilha do Leite  Recife (PE);1192,63;1366;749,47;876,67;985,08;875
Coelhos  Recife (PE);327,85;370,07;320,84;335,11;304,64;363,81
Ilha Joana Bezerra  Recife (PE);250,7;280,99;259,81;319,05;234,71;238,67
Cabanga  Recife (PE);724,55;903,9;486,4;332,45;630,54;1052
São José  Recife (PE);533,28;757,2;402,33;498,62;451,07;353,08
Derby  Recife (PE);2662,21;2858,08;1536,73;2125;2314,9;455
Graças  Recife (PE);3518,03;3668,79;2256,2;2955,74;3127,35;1640,79
Jaqueira  Recife (PE);4144,04;4468,55;580,52;3471,43;3841,66;510
Aflitos  Recife (PE);3237,18;3359,97;1691,75;2217,61;2981,49;1500
Espinheiro  Recife (PE);2765,16;3011,95;1613,99;2469,95;2239,31;3255,56
Rosarinho  Recife (PE);2449,6;2985,47;636,67;2200;1592,55;3243,33
Tamarineira  Recife (PE);2531,75;2871,72;1391,87;1952,32;1964,61;2115,14
Peixinhos  Recife (PE);255,73;259,44;270,28;196,21;250,36;
Campina do Barreto  Recife (PE);419,89;492,77;441,36;482,88;374,86;468,46
Arruda  Recife (PE);794,38;938,29;647;714,34;709,19;437,62
Ponto de Parada  Recife (PE);1168,7;1429,9;996,89;1304;956,19;4500
Hipódromo  Recife (PE);1612,09;1800,31;910,25;1460,91;1319,8;655
Campo Grande  Recife (PE);736,82;1024,37;491,74;632,42;579,65;699,71
Encruzilhada  Recife (PE);2127,38;2378,81;1228,53;1633,72;1754,63;1226,43
Torreão  Recife (PE);2322,88;2809,57;1398,52;0;1666,26;
Passarinho  Recife (PE);285,84;316,42;337,89;217,49;268,24;258,75
Dois Unidos  Recife (PE);317;358,09;343,35;325,08;292,01;408,31
Linha do Tiro  Recife (PE);333,6;358,5;387,67;282,98;310,92;528,22
Beberibe  Recife (PE);356,22;377,39;366,14;463,36;339,29;495,38
Alto Santa Teresinha  Recife (PE);305,85;333,38;331,76;347,21;290,25;306,69
Porto da Madeira  Recife (PE);685,97;779,66;609,75;964,89;626,33;480
Cajueiro  Recife (PE);908,36;1093,33;714,62;586,97;774,76;432,5
Fundão  Recife (PE);572,29;719,31;526,6;583,3;493,9;451,67
Água Fria  Recife (PE);396,55;476,11;389,15;405,97;358,07;514,3
Bomba do Hemetério  Recife (PE);429,49;550,75;400,8;385,71;372,37;462
PauFerro  Recife (PE);1904,02;2573,56;127,5;510;422,71;
Guabiraba  Recife (PE);394,92;519,47;342,54;340,42;336,87;356,57
Sítio dos Pintos  Recife (PE);637,07;894,78;458,6;604,7;503,83;581,85
Dois Irmãos  Recife (PE);650,52;824,02;541,49;511,09;563,43;1450
Brejo da Guabiraba  Recife (PE);362,28;463,19;322,39;343,98;314,53;326,46
Córrego do Jenipapo  Recife (PE);371,22;411,34;414,33;297,49;343,14;571,92
Apipucos  Recife (PE);749,8;1275,24;469,33;387,11;521,45;195,71
Macaxeira  Recife (PE);465,22;587,15;483,54;514,72;393,16;344,83
Nova Descoberta  Recife (PE);307,86;328,94;357,21;304,01;288,42;408,72
Brejo de Beberibe  Recife (PE);378,8;464,01;361,33;343,28;337,46;392,5
Alto do Mandu  Recife (PE);754,35;1053,02;519,31;448,85;580,14;758,33
Casa Amarela  Recife (PE);1535,32;1960,46;793,14;899,44;1076,09;779,29
Vasco da Gama  Recife (PE);398,34;428,95;417,34;429,5;376,21;425,24
Alto José Bonifácio  Recife (PE);307,14;333,16;317,03;300,09;293,56;362,33
Morro da Conceição  Recife (PE);377,32;393,5;406,79;389,7;363,06;367,94
Alto José do Pinho  Recife (PE);364,55;392,34;395,69;315,47;342,17;309,09
Mangabeira  Recife (PE);458,81;534,87;451,64;455,46;423,52;282,73
Parnamirim  Recife (PE);3851,01;4289,89;1118,41;2625;2742,82;405
Casa Forte  Recife (PE);4081,02;4362,93;2070,71;1826,21;3230,9;9857,14
Santana  Recife (PE);3247,77;3873,33;1144,82;2550;2144,26;536,67
Poço  Recife (PE);3299,52;3827,12;1493,85;12783,33;2101,13;8075
Monteiro  Recife (PE);2419,13;3334,96;694,16;3492,55;1415,12;1811,43
Torre  Recife (PE);1807,15;2300,14;765,86;1263,81;1252,27;978,5
Cordeiro  Recife (PE);999,37;1238,92;675,68;939,56;807,81;780,89
Zumbi  Recife (PE);805,58;976,71;744,17;671,59;659,36;525,71
Madalena  Recife (PE);2051,05;2575,24;890,97;1623,9;1452,77;344,61
Prado  Recife (PE);948,47;1263,12;551,63;926,13;708,17;956,86
Ilha do Retiro  Recife (PE);1703,99;2842,84;484,42;2894,71;791,04;1736,67
Bongi  Recife (PE);630,01;823,73;524,76;525,03;524,42;1335,17
San Martin  Recife (PE);717,79;874,18;599,97;780,79;617,01;559,63
Mustardinha  Recife (PE);431,42;497,39;453,41;445,95;396,04;400,52
